SZU,Charge_Point,Charge_Point_2
Aberfoyle,"30° 21'30""S","152° 2'30""E"
Adaminaby,"35° 58'30""S","148° 51'0""E"
Adelaide,"34° 56'0""S","138° 35'30""E"
Adelong,"35° 18'35""S","148° 1'0""E"
Agnes Water,"24° 17'0""S","151° 49'0""E"
Aireys Inlet,"38° 25'40""S","144° 2'30""E"
Airlands,"30° 56'40""S","149° 33'30""E"
Ajana,"28° 5'0""S","114° 38'30""E"
Albany,"34° 56'0""S","117° 49'0""E"
Albert,"32° 24'0""S","147° 34'30""E"
Albury,"36° 4'30""S","146° 58'0""E"
Aldersyde,"32° 25'30""S","117° 18'30""E"
Alectown,"32° 56'30""S","148° 13'0""E"
Alexandra,"37° 13'30""S","145° 44'0""E"
Alford,"33° 47'30""S","137° 49'30""E"
Alice Springs,"23° 42'30""S","133° 52'0""E"
Alleena,"34° 8'30""S","147° 4'30""E"
Allora,"28° 2'0""S","151° 57'30""E"
Alpha,"23° 19'0""S","147° 20'30""E"
Alyangula,"13° 51'0""S","136° 25'0""E"
Amelup,"34° 10'30""S","118° 13'30""E"
Amphitheatre,"37° 15'30""S","143° 30'15""E"
Anabranch,"33° 45'0""S","141° 47'30""E"
Andamooka,"30° 28'0""S","135° 58'0""E"
Ando,"36° 37'40""S","149° 15'40""E"
Anembo,"35° 40'0""S","149° 21'0""E"
Anglesea,"38° 20'0""S","144° 7'0""E"
Annuello,"34° 52'0""S","142° 49'0""E"
Apollo Bay,"38° 43'0""S","143° 37'40""E"
Apsley,"37° 1'30""S","141° 6'30""E"
Aramac,"22° 38'0""S","145° 28'0""E"
Ararat,"37° 16'0""S","142° 59'0""E"
Arcadia Valley,"25° 30'0""S","148° 22'0""E"
Ardath,"32° 6'30""S","118° 1'30""E"
Ardlethan,"34° 20'30""S","146° 55'0""E"
Ardrossan,"34° 18'0""S","137° 54'30""E"
Ariah Park,"34° 26'30""S","147° 10'20""E"
Armadale,"32° 8'45""S","116° 0'15""E"
Armidale,"30° 30'0""S","151° 39'30""E"
Arnhem (Ext),"12° 41'0""S","133° 42'0""E"
Arno Bay,"33° 52'0""S","136° 28'30""E"
Arrowsmith,"29° 25'0""S","115° 25'0""E"
Arthur River,"33° 21'0""S","117° 4'50""E"
Arthurton,"34° 14'0""S","137° 40'0""E"
Arumpo,"34° 8'30""S","142° 22'30""E"
Atherton,"17° 13'0""S","145° 31'30""E"
Atholwood,"28° 56'30""S","151° 3'0""E"
Auburn (Ext) (QLD),"26° 9'30""S","150° 36'0""E"
Auburn (SA),"34° 7'0""S","138° 38'30""E"
Augathella,"26° 7'0""S","146° 17'0""E"
Augusta,"34° 12'0""S","115° 8'0""E"
Aurukun,"14° 16'0""S","142° 59'0""E"
Avalon Beach,"33° 35'0""S","151° 9'30""E"
Avenue Range,"36° 54'30""S","140° 14'0""E"
Avoca (TAS),"41° 49'30""S","147° 42'0""E"
Avoca (VIC),"37° 5'30""S","143° 24'30""E"
Ayr,"19° 33'0""S","147° 23'30""E"
Baan Baa,"30° 32'30""S","150° 2'30""E"
Baandee,"31° 26'30""S","117° 58'0""E"
Babinda,"17° 19'0""S","145° 58'0""E"
Bacchus Marsh,"37° 38'30""S","144° 28'0""E"
Baden,"42° 27'30""S","147° 32'0""E"
Badgebup,"33° 40'30""S","117° 46'0""E"
Badgebup North,"33° 30'30""S","117° 52'30""E"
Badgerin Rock,"30° 35'0""S","117° 21'30""E"
Badgingarra,"30° 26'30""S","115° 42'30""E"
Baerami,"32° 20'30""S","150° 26'0""E"
Bairnsdale,"37° 48'30""S","147° 41'0""E"
Bajool,"23° 35'0""S","150° 43'30""E"
Bakers Hill,"31° 41'0""S","116° 30'30""E"
Balaklava,"34° 12'30""S","138° 23'0""E"
Baldry,"32° 53'30""S","148° 30'30""E"
Balingup,"33° 47'30""S","116° 5'0""E"
Balkuling,"31° 55'30""S","117° 6'0""E"
Balla,"28° 9'0""S","114° 52'0""E"
Balladoran,"31° 54'0""S","148° 39'0""E"
Ballan,"37° 34'0""S","144° 18'0""E"
Ballandean,"28° 50'30""S","151° 52'0""E"
Ballarat,"37° 32'0""S","143° 57'0""E"
Balldale,"35° 51'10""S","146° 29'20""E"
Balliang,"37° 48'30""S","144° 23'30""E"
Ballidu,"30° 32'0""S","116° 44'0""E"
Ballimore,"32° 11'10""S","149° 1'0""E"
Ballina,"28° 49'30""S","153° 30'0""E"
Ballugan,"25° 54'0""S","152° 16'0""E"
Balmoral,"37° 18'30""S","141° 52'0""E"
Balonne (Ext),"28° 2'0""S","147° 54'0""E"
Balranald,"34° 37'0""S","143° 33'0""E"
Bambaroo,"18° 48'30""S","146° 13'0""E"
Bambilla (Ext),"32° 46'0""S","144° 6'0""E"
Banana,"24° 27'0""S","150° 13'30""E"
Banar,"33° 16'0""S","147° 10'0""E"
Bandon Grove,"32° 15'0""S","151° 42'0""E"
